order_id,products
2774568,39190 47766 
329954,1200 2707 7160
1528013,21903 38293 
1376945,8309 27959 
1356845,7076 10863 13176
2161313,11266 12427 14715
1416320,5134 21903 
1735923,17008 35123 
1980631,9387 13575 
139655,22935 27845 
1411408,22008 43758 
2940603,7521 30592 31615
1192143,8670 21513 24759
280888,12440 19213 41406
3202221,9637 24852 49215
3222866,7969 8501 15718
707453,4942 24852 32030
1320132,11079 12145 44632
882556,25890 30962 48679
2431024,5450 5699 13176
2827745,689 17924 20754
2174416,10017 15712 18798
1325316,24964 26165 38231
320326,24852 42828 
2128599,7628 14818 
1099519,22035 28058 
144494,16959 46260 
3024191,18362 27521 30233
2817181,18828 19677 41618
2883656,21497 24852 
1970262,4562 21903 
2681168,11777 22151 
1345233,1695 13176 21137
2412507,5258 13259 18023
622677,2192 40593 44142
139487,196 21386 
3302990,21616 27344 
1189294,13176 25527 26317
1368861,1940 5445 14335
1626588,14365 31808 
36863,27521 45007 
969538,13643 30120 38461
688716,13176 47209 
1058680,470 4210 
831748,5782 40174 
2710859,21249 24852 40897
1500625,1674 26700 29646
726111,9554 12756 13176
2567075,6692 12381 18727
1855063,17794 27845 
2588536,23986 33572 49111
1658650,19057 45007 
36740,27726 29805 35199
2675738,37543 39685 
3052059,9421 44728 46654
2943466,3957 5258 
3400496,11777 14233 37754
1920100,2748 47209 
2993890,13176 26648 
1172828,4210 32691 
2587424,13060 25466 25783
2760277,9018 12276 15290
2691733,41658 47990 
2769561,18434 21227 22963
2029462,17794 38453 
1817659,28934 35121 
470997,7515 8043 
569815,100 4920 12218
2517930,16291 35221 
2378064,28535 49683 
169451,1957 13176 
2986791,13176 17526 
1239084,10768 24852 30391
3191854,4809 19057 40174
1132910,27086 41290 47766
2088686,5479 27531 46802
3358588,4210 19348 22959
1283403,21137 47209 
2098786,13447 19660 29344
795256,18234 23288 
2399184,22993 24852 
862070,17352 24852 
313331,12341 19660 
3241020,6825 7349 15950
1549872,1160 5468 47931
3348159,32433 39013 45679
1653971,3318 33198 
3161938,10108 16965 21077
2318705,30391 47209 
1882331,24852 27579 
1696774,1366 36099 
2686576,9387 21800 21872
3048274,13712 15399 19598
1141566,4920 43352 
3069370,11984 27845 43609
2527879,311 11599 12576
2969880,9076 13263 16185
2726815,15424 37606 
1862801,17454 27845 35951
865014,5776 11361 24184
2572142,13225 16797 24852
1379299,45 8695 34969
1579044,24852 49683 
346816,3873 16350 
3116687,23405 34355 
158824,19660 46844 
2306683,26683 28476 
939128,11777 15290 46906
1242621,3495 40236 
82598,13176 38777 
1177551,4724 6901 7862
61423,6184 8057 
738988,521 1878 2086
1105633,24852 28204 
930307,4357 22677 
588332,6656 19875 21137
2964001,14233 NA 
1971668,4175 8809 9934
1452849,44359 47209 
1544353,246 35110 35146
2242945,16589 27845 29487
465851,40910 45948 
1080218,1640 3855 5886
3088338,21454 26706 42347
3037363,20161 48199 
2305779,12341 22938 42043
632748,24701 28080 
2770483,9018 21543 27325
143045,11100 43654 
2481483,19660 23662 
1299805,2382 4031 4983
2364890,5322 18095 19376
1979817,4472 5876 14947
2193705,6184 21903 
1160743,4193 13176 39732
239545,19862 36830 
729099,7131 7249 12341
906822,4920 8571 
887842,21295 24082 33120
